capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,rental_methods,rental_url,short_name,station_id
63,FALSE,FALSE,66dc7a7d-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.7454973,-74.00197139,9 Ave & W 22 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=509,6266.06,509
27,FALSE,FALSE,66dc7cc3-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.768254,-73.988639,W 56 St & 10 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=513,6955.01,513
52,TRUE,FALSE,66dc7d58-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76087502,-74.00277668,12 Ave & W 40 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=514,6765.01,514
35,FALSE,FALSE,66dc7de9-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76009437,-73.99461843,W 43 St & 10 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=515,6756.01,515
31,FALSE,FALSE,66dc7e75-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75206862,-73.96784384,E 47 St & 1 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=516,6498.09,516
69,FALSE,FALSE,66dc7f02-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.751581,-73.97791,Pershing Square South,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=517,6432.08,517
39,FALSE,FALSE,66dc7f8f-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74780373,-73.9734419,E 39 St & 2 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=518,6345.01,518
69,FALSE,FALSE,66dc8025-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.751873,-73.977706,Pershing Square North,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=519,6432.09,519
51,FALSE,FALSE,66dc81ce-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75714758,-73.97207836,E 51 St & Lexington Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=522,6659.01,522
51,FALSE,FALSE,66dc825c-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75466591,-73.99138152,W 38 St & 8 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=523,6526.03,523
56,FALSE,FALSE,66dc8382-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75594159,-74.0021163,W 34 St & 11 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=525,6578.01,525
40,FALSE,FALSE,66dc840f-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74765947,-73.98490707,E 33 St & 5 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=526,6322.01,526
39,FALSE,FALSE,66dc8527-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74290902,-73.97706058,2 Ave & E 31 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=528,6197.02,528
41,FALSE,FALSE,66dc85bb-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.7575699,-73.99098507,W 42 St & 8 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=529,6602.05,529
24,FALSE,FALSE,66dc864c-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.77149671,-73.99046034,11 Ave & W 59 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=530,7059.01,530
39,FALSE,FALSE,66dc86d9-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.71893904,-73.99266288,Forsyth St & Broome St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=531,5453.05,531
43,TRUE,FALSE,66dc8768-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.710451,-73.960876,S 5 Pl & S 5 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=532,5125.03,532
46,FALSE,FALSE,66dc87f1-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75299641,-73.98721619,Broadway & W 38 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=533,6441.05,533
31,FALSE,FALSE,66dc8886-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.70255065,-74.0127234,Water - Whitehall Plaza,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=534,4962.04,534
29,FALSE,FALSE,66dc89ae-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74144387,-73.97536082,1 Ave & E 30 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=536,6079.03,536
31,FALSE,FALSE,66dc8b6a-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.71534825,-73.96024116,Metropolitan Ave & Bedford Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=539,5308.04,539
30,FALSE,FALSE,66dc8bfd-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74311555,-73.98215353,Lexington Ave & E 29 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=540,6164.09,540
27,FALSE,FALSE,66dc8c90-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.736502,-73.97809472,E 23 St & 1 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=545,5929.01,545
45,FALSE,FALSE,66dc8d1d-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.74444921,-73.98303529,E 30 St & Park Ave S,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=546,6206.08,546
30,FALSE,FALSE,66dc8db1-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.70255088,-73.98940236,Front St & Washington St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2000,4936.01,2000
27,FALSE,FALSE,66dc8eb1-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.716887,-73.963198,Wythe Ave & Metropolitan Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2002,5348.02,2002
54,FALSE,FALSE,66dc8f1f-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.73381219,-73.98054421,1 Ave & E 18 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2003,5854.09,2003
12,FALSE,FALSE,66dc9000-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.70531194,-73.97100056,Railroad Ave & Kay Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2005,4990.01,2005
49,TRUE,FALSE,66dc9068-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.76590936,-73.97634151,Central Park S & 6 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2006,6876.04,2006
24,TRUE,FALSE,66dc90d5-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.70569254,-74.01677685,Little West St & 1 Pl,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2008,5001.08,2008
35,FALSE,FALSE,66dc9143-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.71117444,-73.99682619,Catherine St & Monroe St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2009,5128.04,2009
39,FALSE,FALSE,66dc91b5-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.72165481,-74.00234737,Grand St & Greene St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2010,5500.02,2010
36,FALSE,FALSE,66dc9223-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.739445,-73.976806,E 27 St & 1 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2012,6004.06,2012
39,FALSE,FALSE,66dca5f3-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75022392,-73.97121414,E 43 St & 2 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2017,6422.08,2017
43,FALSE,FALSE,66dca682-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75929124,-73.98859651,W 45 St & 8 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2021,6676.02,2021
33,FALSE,FALSE,66dca6f4-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.759107,-73.959223,E 60 St & York Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2022,6682.08,2022
36,FALSE,FALSE,66dca76a-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.75968085,-73.97031366,E 55 St & Lexington Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=2023,6732.07,2023
25,TRUE,FALSE,66dca92d-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.711512,-74.015756,South End Ave & Liberty St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3002,5184.07,3002
54,FALSE,FALSE,66dcac42-0aca-11e7-82f6-3863bb44ef7c,TRUE,40.72036775,-73.96165073,Kent Ave & N 7 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3016,5489.03,3016
